,Ranking,Move,Country,Player,Age,Points,Tourn Played,Points Dropping,Next Best
1170,1171,49,ROU,George Botezan ,21,6 ,19 ,0,0
1171,1172T,1,NED,Matwe Middelkoop ,34,5 ,1 ,5,0
1172,1172T,1,ARG,Andres Molteni ,29,5 ,1 ,0,0
1173,1172T,1,CRO,Antonio Sancic ,29,5 ,1 ,0,0
1174,1172T,1,RUS,Dmitry Surchenko ,27,5 ,1 ,0,0
1175,1176,1,FRA,Quentin Robert ,23,5 ,3 ,0,0
1176,1177T,1,FRA,Thibault Cancel ,20,5 ,4 ,0,0
1177,1177T,1,ESP,Alberto Colas Sanchez ,17,5 ,4 ,0,0
1178,1177T,1,AUT,Gabriel Schmidt ,26,5 ,4 ,0,0
1179,1180,1,FRA,Clement Tabur ,18,5 ,6 ,0,0
1180,1181T,1,ITA,Giovanni Oradini ,20,5 ,6 ,0,0
1181,1181T,1,POR,Duarte Vale ,19,5 ,6 ,0,0
1182,1183,1,USA,Josh Hagar ,24,5 ,7 ,0,0
1183,1184,1,KOR,Ji Hoon Son ,23,5 ,7 ,0,0
1184,1185T,1,ITA,Francesco Bessire ,24,5 ,7 ,0,0
1185,1185T,1,ROU,Teodor-Dacian Craciun ,37,5 ,7 ,0,0
1186,1187T,2,NED,Stephan Gerritsen ,21,5 ,8 ,0,0
1187,1187T,2,UKR,Nikita Mashtakov ,18,5 ,8 ,0,0
1188,1189,2,SWE,Lucas Renard ,25,5 ,8 ,0,0
1189,1190,2,ITA,Tommaso Gabrieli ,24,5 ,9 ,0,0
1190,1191,2,JPN,Shinta Fujii ,29,5 ,9 ,0,0
1191,1192,2,JPN,Shunrou Takeshima ,27,5 ,9 ,0,0
1192,1193,2,JPN,Masaki Sasai ,28,5 ,9 ,0,0
1193,1194T,3,SUI,Luca Castelnuovo ,21,5 ,9 ,0,0
1194,1194T,3,USA,John Mcnally ,19,5 ,9 ,0,0
1195,1196,38,JPN,Ryusei Makiguchi ,26,5 ,10 ,0,0
1196,1197,2,GER,Kevin Kaczynski ,23,5 ,10 ,0,0
1197,1198,2,IND,Suraj R Prabodh ,23,5 ,10 ,1,0
1198,1199,2,CRO,Ivan Krivic ,27,5 ,10 ,0,0
1199,1200T,4,ARG,Mateo Nicolas Martinez ,24,5 ,11 ,0,0
1200,1200T,4,NMI,Colin Sinclair ,23,5 ,11 ,0,0
1201,1200T,4,CHN,Ruikai Wang ,25,5 ,11 ,2,0
1202,1203T,2,FRA,Constantin Bittoun Kouzmine ,19,5 ,11 ,0,0
1203,1203T,88,IND,Mohit Mayur Jayaprakash ,24,5 ,11 ,1,0
1204,1205,43,IND,Kunal Anand ,25,5 ,12 ,0,0
1205,1206T,1,HKG,Skyler Butts ,24,5 ,12 ,0,0
1206,1206T,1,SUI,Andrew Ruppli ,23,5 ,12 ,0,0
1207,1208,1,GER,Bastian Wagner ,23,5 ,13 ,0,0
1208,1209,1,FRA,Maxence Broville ,19,5 ,13 ,1,0
1209,1210T,2,FRA,Rayane Roumane ,17,5 ,14 ,1,0
1210,1210T,2,ESP,Aitor Sanz Llopis ,23,5 ,14 ,0,0
1211,1212,1,TUR,Koray Kirci ,19,5 ,15 ,0,0
1212,1213,2,JPN,Shunsuke Wakita ,22,5 ,15 ,0,0
1213,1214T,2,GBR,Toby Martin ,25,5 ,16 ,0,0
1214,1214T,85,POL,Mateusz Terczynski ,22,5 ,16 ,0,0
1215,1216T,1,SWE,Jakob Johansson-Holm ,22,5 ,17 ,0,0
1216,1216T,1,BLR,Aleksei Khomich ,21,5 ,17 ,0,0
1217,1218,1,USA,Mousheg Hovhannisyan ,26,5 ,18 ,0,0
1218,1219T,2,BLR,Aliaksandr Bury ,30,4 ,3 ,0,0
1219,1219T,2,CAN,Raheel Manji ,20,4 ,3 ,0,0
1220,1221,2,KOR,Ji Sung Nam ,24,4 ,3 ,0,0
1221,1222T,2,GEO,Aleksandre Bakshi ,20,4 ,3 ,0,0
1222,1222T,2,BAH,Justin Roberts ,21,4 ,3 ,0,0
1223,1222T,2,BEL,Joran Vliegen ,24,4 ,3 ,2,0
1224,1225T,2,ISR,Daniel Cukierman ,22,4 ,4 ,0,0
1225,1225T,2,AUS,Greg Jones ,29,4 ,4 ,0,0
1226,1225T,2,USA,Govind Nanda ,17,4 ,4 ,1,0
1227,1225T,2,USA,Samuel Shropshire ,23,4 ,4 ,0,0
1228,1229T,2,USA,Lukas Greif ,18,4 ,4 ,0,0
1229,1229T,2,DEN,Benjamin Hannestad ,21,4 ,4 ,0,0
1230,1229T,2,KOR,Ku Keon Kang ,21,4 ,4 ,0,0
1231,1229T,2,KOR,Yong-Kyu Lim ,26,4 ,4 ,0,0
1232,1233,2,RUS,Philipp Davydenko ,25,4 ,5 ,0,0
1233,1234T,2,SWE,Jonas Eriksson Ziverts ,19,4 ,5 ,0,0
1234,1234T,2,KOR,Jae-Min Seol ,28,4 ,5 ,0,0
1235,1234T,2,EST,Mattias Siimar ,20,4 ,5 ,0,0
1236,1234T,2,KOR,Daniel Yoo ,32,4 ,5 ,0,0
1237,1238T,10,IND,Rishab Agarwal ,22,4 ,5 ,1,0
1238,1238T,2,ARG,Santiago Besada ,19,4 ,5 ,0,0
1239,1238T,2,ARG,Lorenzo Gagliardo ,17,4 ,5 ,0,0
1240,1238T,2,ANT,Herbert Jody Maginley ,22,4 ,5 ,0,0
1241,1242,1,USA,Riley Smith ,20,4 ,6 ,0,0
1242,1243T,1,ITA,Andrea Bolla ,19,4 ,6 ,0,0
1243,1243T,1,ARG,Luciano Doria ,25,4 ,6 ,0,0
1244,1243T,1,EGY,Akram El Sallaly ,20,4 ,6 ,0,0
1245,1243T,57,GER,Pirmin Haenle ,29,4 ,6 ,3,0
1246,1243T,1,ITA,Luca Pancaldi ,24,4 ,6 ,0,0
1247,1248T,,TPE,Shao-Fan Liu ,21,4 ,6 ,0,0
1248,1248T,,IND,Anurag Nenwani ,19,4 ,6 ,0,0
1249,1248T,,GBR,Jonny O'Mara ,23,4 ,6 ,0,0
1250,1248T,256,USA,Rhyne Williams ,26,4 ,6 ,1,0
1251,1252T,,PAK,Samir Iftikhar ,25,4 ,7 ,0,0
1252,1252T,,ARG,Nicolas Uryson ,24,4 ,7 ,0,0
1253,1254T,,ARG,Juan Pablo Grassi Mazzuchi ,18,4 ,7 ,0,0
1254,1254T,,LUX,Alex Knaff ,20,4 ,7 ,0,0
1255,1254T,,BRA,Augusto Laranja ,25,4 ,7 ,0,0
1256,1254T,,GER,Adrian Oetzbach ,20,4 ,7 ,0,0
1257,1258,,ITA,Davide Della Tommasina ,27,4 ,8 ,0,0
1258,1259T,,FRA,Valentin Vacherot ,19,4 ,8 ,0,0
1259,1259T,64,IND,Siddharth Vishwakarma ,23,4 ,8 ,2,0
1260,1261T,,ESP,Sergio Barranco ,24,4 ,8 ,0,0
1261,1261T,,ITA,Daniele Capecchi ,22,4 ,8 ,0,0
1262,1261T,,RSA,Lance-Pierre Du Toit ,19,4 ,8 ,0,0
1263,1261T,,CRO,Alen Rogic-Hadzalic ,20,4 ,8 ,0,0
1264,1265T,,FRA,Maxence Beauge ,17,4 ,9 ,0,0
1265,1265T,,ARG,Tomas Gerini ,22,4 ,9 ,0,0
1266,1265T,,KUW,Abdullah Maqdes ,30,4 ,9 ,0,0
1267,1265T,64,ITA,Davide Pontoglio ,25,4 ,9 ,0,0
1268,1265T,,EST,Kristjan Tamm ,19,4 ,9 ,0,0
1269,1270,,GBR,Sean Hodkin ,19,4 ,10 ,0,0
1270,1271T,,USA,Tyler Hochwalt ,29,4 ,10 ,0,0
1271,1271T,,ROU,Dragos Constantin Ignat ,25,4 ,10 ,0,0
1272,1271T,,ISR,Ram Kapach ,21,4 ,10 ,0,0
1273,1271T,,USA,Vasil Kirkov ,18,4 ,10 ,0,0
1274,1271T,8,THA,Kittipong Wachiramanowong ,27,4 ,10 ,0,0
1275,1276T,1,USA,Alafia Ayeni ,18,4 ,10 ,0,0
1276,1276T,1,USA,Conor Berg ,26,4 ,10 ,0,0
1277,1276T,1,GBR,Thomas Colautti ,23,4 ,10 ,0,0
1278,1276T,1,ESP,Ivan Marrero Curbelo ,19,4 ,10 ,0,0
1279,1276T,11,POR,Daniel Rodrigues ,18,4 ,10 ,0,0
1280,1281,2,ITA,Mirko Cutuli ,21,4 ,11 ,0,0
1281,1282,1,ITA,Luca Prevosto ,19,4 ,11 ,0,0
1282,1283,1,ISR,Yasha Zemel ,19,4 ,12 ,0,0
1283,1284T,1,FRA,Jurgen Briand ,19,4 ,12 ,0,0
1284,1284T,1,FRA,Amaury Delmas ,19,4 ,12 ,0,0
1285,1284T,1,BOL,Alejandro Mendoza ,28,4 ,12 ,0,0
1286,1284T,1,UKR,Stanislav Poplavskyy ,26,4 ,12 ,0,0
1287,1288,1,AUT,Dominic Weidinger ,23,4 ,13 ,0,0
1288,1289T,2,UKR,Filipp Kekercheni ,22,4 ,13 ,1,0
1289,1289T,1,CHN,Chukang Wang ,18,4 ,13 ,0,0
1290,1291T,2,USA,Jonathan Chang ,26,4 ,14 ,0,0
1291,1291T,3,RUS,Matvey Khomentovskiy ,23,4 ,14 ,0,0
1292,1293T,2,TUR,Cengiz Aksu ,19,4 ,14 ,0,0
1293,1293T,2,GER,Jannis Kahlke ,23,4 ,14 ,0,0
1294,1295,6,SUI,Riccardo Maiga ,28,4 ,15 ,0,0
1295,1296T,,GBR,Alexis Canter ,19,4 ,15 ,1,0
1296,1296T,1,CHN,Yuanfeng Li ,24,4 ,15 ,1,0
1297,1298,1,POR,Miguel Semedo ,21,4 ,17 ,0,0
1298,1299,1,TUN,Aziz Ouakaa ,18,4 ,18 ,0,0
1299,1300,1,SUI,Loic Perret ,23,4 ,19 ,0,0
1300,1301T,1,MEX,Carlos De La Pena ,,3 ,1 ,0,0
1301,1301T,1,USA,Alexander Lebedev ,20,3 ,1 ,0,0
1302,1301T,1,USA,Spencer Papa ,22,3 ,1 ,0,0
1303,1301T,1,USA,Alfredo Perez ,20,3 ,1 ,0,0
1304,1301T,1,NED,Jesse Timmermans ,,3 ,1 ,0,0
1305,1306,1,AUS,Steven De Waard ,26,3 ,2 ,0,0
1306,1307T,1,ZIM,Mark Chigaazira ,19,3 ,2 ,0,0
1307,1307T,1,CYP,Menelaos Efstathiou ,19,3 ,2 ,0,0
1308,1307T,1,ARG,Valentin Florez ,27,3 ,2 ,0,0
1309,1307T,1,INA,Fitriadi M Rifqi ,19,3 ,2 ,0,0
1310,1307T,1,ARG,Juan Martin ,19,3 ,2 ,0,0
1311,1312,1,MON,Romain Arneodo ,25,3 ,3 ,0,0
1312,1313T,1,ROU,Filip Cristian Jianu ,16,3 ,3 ,0,0
1313,1313T,1,BLR,Ivan Liutarevich ,22,3 ,3 ,0,0
1314,1313T,1,COL,Michael Quintero ,37,3 ,3 ,0,0
1315,1313T,1,CZE,Marek Rehacek ,21,3 ,3 ,0,0
1316,1313T,1,SUI,Aaron Schmid ,17,3 ,3 ,0,0
1317,1313T,1,IND,Sanam Singh ,30,3 ,3 ,2,0
1318,1313T,1,RUS,Alexey Zakharov ,17,3 ,3 ,0,0
1319,1320T,,KOR,Dae-Hee Lee ,26,3 ,3 ,0,0
1320,1320T,,POL,Daniel Michalski ,18,3 ,3 ,0,0
1321,1320T,,LTU,Lukas Mugevicius ,23,3 ,3 ,1,0
1322,1320T,,USA,Ty Trombetta ,27,3 ,3 ,0,0
1323,1324,,GBR,Mark Whitehouse ,24,3 ,4 ,0,0
1324,1325T,,ARG,Francisco Cerundolo ,19,3 ,4 ,0,0
1325,1325T,,ITA,Marco Di Prima ,22,3 ,4 ,0,0
1326,1325T,,JPN,Ibuki Furuta ,21,3 ,4 ,0,0
1327,1325T,13,JPN,Kaito Itsusaki ,20,3 ,4 ,2,0
1328,1325T,,KOR,Young-Hoon Jeong ,28,3 ,4 ,0,0
1329,1325T,,JPN,Katsuki Nagao ,28,3 ,4 ,0,0
1330,1331T,1,GBR,Charles Broom ,19,3 ,4 ,0,0
1331,1331T,1,MDA,Alexandru Gozun ,22,3 ,4 ,0,0
1332,1331T,1,FIN,Patrick Kaukovalta ,19,3 ,4 ,0,0
1333,1331T,1,FRA,Christopher Morin Kougoucheff ,20,3 ,4 ,0,0
1334,1331T,1,SUI,Marko Osmakcic ,19,3 ,4 ,0,0
1335,1336T,1,IRI,Shahin Khaledan ,27,3 ,5 ,0,0
1336,1336T,1,BLR,Aliaksandr Liaonenka ,18,3 ,5 ,0,0
1337,1336T,1,JPN,Ken Onoda ,29,3 ,5 ,0,0
1338,1336T,1,KOR,Dong-Hak Sin ,26,3 ,5 ,0,0
1339,1336T,1,USA,Connor Smith ,27,3 ,5 ,0,0
1340,1341T,1,FRA,Constant De La Bassetiere ,20,3 ,5 ,0,0
1341,1341T,1,ITA,Francesco Forti ,18,3 ,5 ,1,0
1342,1341T,1,GER,Milen Ianakiev ,22,3 ,5 ,0,0
1343,1341T,1,NED,Paul Monteban ,25,3 ,5 ,0,0
1344,1341T,1,CHN,Tao Mu ,17,3 ,5 ,0,0
1345,1341T,1,JPN,Masaki Osafune ,22,3 ,5 ,0,0
1346,1341T,13,ESP,Albert Roglan ,19,3 ,5 ,0,0
1347,1341T,1,ROU,Dan Alexandru Tomescu ,18,3 ,5 ,0,0
1348,1349T,2,USA,Jenson Brooksby ,,3 ,6 ,0,0
1349,1349T,2,IND,S D Prajwal Dev ,21,3 ,6 ,1,0
1350,1349T,2,USA,Jake Douglas ,21,3 ,6 ,0,0
1351,1349T,2,ITA,Andrea Grazioso ,24,3 ,6 ,0,0
1352,1349T,2,USA,Christopher G Haworth ,24,3 ,6 ,0,0
1353,1349T,2,DEN,August Holmgren ,19,3 ,6 ,0,0
1354,1349T,2,ESP,Rafael Mazon-Hernandez ,27,3 ,6 ,0,0
1355,1356T,2,ITA,Giuliano Benedetti ,19,3 ,6 ,0,0
1356,1356T,2,USA,Felix Corwin ,21,3 ,6 ,0,0
1357,1356T,2,FRA,Hugo Gaston ,17,3 ,6 ,0,0
1358,1356T,2,GER,Kai Lemstra ,18,3 ,6 ,0,0
1359,1356T,2,ROU,Luca George Tatomir ,22,3 ,6 ,0,0
1360,1356T,2,GER,Kai Wehnelt ,22,3 ,6 ,0,0
1361,1362T,103,ESP,Marcos Giraldi Requena ,24,3 ,7 ,0,0
1362,1362T,1,USA,Alexander Knight ,21,3 ,7 ,0,0
1363,1362T,10,INA,David Agung Susanto ,26,3 ,7 ,0,0
1364,1362T,10,FRA,Cesar Testoni ,22,3 ,7 ,0,0
1365,1366T,4,SUI,Remy Bertola ,19,3 ,7 ,0,0
1366,1366T,4,CZE,Antonin Bolardt ,19,3 ,7 ,0,0
1367,1366T,4,ITA,Andrea Borroni ,22,3 ,7 ,0,0
1368,1366T,4,CHN,Zhaoyi Cao ,24,3 ,7 ,0,0
1369,1366T,4,ESP,Andres Fernandez Canovas ,18,3 ,7 ,0,0
1370,1366T,4,SWE,Linus Frost ,22,3 ,7 ,0,0
1371,1366T,4,IND,Vinayak Sharma Kaza ,26,3 ,7 ,0,0
1372,1366T,4,THA,Kittirat Kerdlapee ,18,3 ,7 ,0,0
1373,1366T,4,ROU,Vladislav Melnic ,18,3 ,7 ,0,0
1374,1375T,3,LAT,Arturs Lazdins ,20,3 ,8 ,0,0
1375,1375T,3,AUS,Matthew Christopher Romios ,18,3 ,8 ,0,0
1376,1375T,3,FRA,Hugo Schott ,21,3 ,8 ,0,0
1377,1378T,1,AUS,Edward Bourchier ,29,3 ,8 ,0,0
1378,1378T,1,ESP,Jorge Hernando Ruano ,30,3 ,8 ,0,0
1379,1378T,1,PHI,Alberto Lim ,18,3 ,8 ,0,0
1380,1378T,1,AUS,Darren K. Polkinghorne ,25,3 ,8 ,0,0
1381,1378T,1,CRO,Ivan Sabanov ,25,3 ,8 ,0,0
1382,1378T,1,GER,Niklas Schell ,19,3 ,8 ,0,0
1383,1384,1,AUS,Nathan Eshmade ,23,3 ,9 ,3,0
1384,1385T,1,USA,Nicholas Bybel ,24,3 ,9 ,0,0
1385,1385T,1,NED,Floris Van Den Brink ,22,3 ,9 ,0,0
1386,1387T,3,IND,Tejas Chaukulkar ,28,3 ,9 ,1,0
1387,1387T,1,TPE,Wei-De Lin ,22,3 ,9 ,0,0
1388,1387T,1,ROU,Alexandru Vasile Manole ,19,3 ,9 ,0,0
1389,1387T,1,CZE,Lukas Vejvara ,20,3 ,9 ,0,0
1390,1387T,1,POL,Bartosz Wojnar ,24,3 ,9 ,0,0
1391,1392T,2,JPN,Masaya Kobayashi ,20,3 ,10 ,1,0
1392,1392T,2,SWE,Milos Sekulic ,28,3 ,10 ,0,0
1393,1392T,2,UKR,Vitalii Shcherba ,20,3 ,10 ,0,0
1394,1395T,,POR,Daniel Batista ,19,3 ,11 ,0,0
1395,1395T,,CAN,Martin Beran ,22,3 ,11 ,0,0
1396,1395T,,ARG,Alan Kohen ,24,3 ,11 ,0,0
1397,1398T,,GBR,Joel Cannell ,20,3 ,11 ,0,0
1398,1398T,8,IND,Anirudh Chandrasekar ,19,3 ,11 ,0,0
1399,1398T,,ITA,Andres Gabriel Ciurletti ,20,3 ,11 ,0,0
1400,1398T,,ESP,Paco Climent Gregori ,19,3 ,11 ,0,0
1401,1398T,,THA,Congsup Congcar ,21,3 ,11 ,0,0
1402,1398T,,AUS,Matthew Dellavedova ,17,3 ,11 ,0,0
1403,1398T,,THA,Jirat Navasirisomboon ,21,3 ,11 ,0,0
1404,1398T,,GER,Leonard Von Hindte ,23,3 ,11 ,0,0
1405,1406T,,ARG,Juan Bautista Otegui ,19,3 ,12 ,0,0
1406,1406T,,LIB,Giovani Samaha ,23,3 ,12 ,0,0
1407,1406T,,ARG,Fermin Tenti ,20,3 ,12 ,0,0
1408,1406T,4,POL,Kacper Zuk ,19,3 ,12 ,0,0
1409,1410,1,PER,Alexander Merino ,25,3 ,14 ,0,0
1410,1411,1,BEL,Benjamin Dhoe ,21,3 ,15 ,0,0
1411,1412T,2,ESP,Carlos Alcaraz Garfia ,14,2 ,1 ,0,0
1412,1412T,2,CRO,Josko Topic ,34,2 ,1 ,0,0
1413,1412T,2,BEL,Laurens Verboven ,20,2 ,1 ,0,0
1414,1412T,2,RSA,Tucker Vorster ,29,2 ,1 ,0,0
1415,1416T,2,CZE,Dominik Barton ,19,2 ,2 ,0,0
1416,1416T,2,PER,Duilio Beretta ,26,2 ,2 ,0,0
1417,1416T,2,POR,Alexandre Castanho Ribeiro ,19,2 ,2 ,0,0
1418,1416T,2,KOR,Min-Hyeok Cho ,31,2 ,2 ,0,0
1419,1416T,2,CAN,Hugo Di Feo ,22,2 ,2 ,0,0
1420,1416T,2,ARG,Axel Geller ,18,2 ,2 ,0,0
1421,1416T,2,GBR,Anton Matusevich ,16,2 ,2 ,0,0
1422,1416T,2,AUT,Jan Poskocil ,28,2 ,2 ,0,0
1423,1416T,2,GER,Charly Zick ,21,2 ,2 ,0,0
1424,1425T,3,CHI,Nicolas Acevedo ,18,2 ,2 ,0,0
1425,1425T,3,BRA,Eric Caleguer ,20,2 ,2 ,0,0
1426,1425T,3,FRA,Julien De Cuyper ,18,2 ,2 ,0,0
1427,1425T,3,BRA,Igor Gimenez ,18,2 ,2 ,0,0
1428,1425T,3,MKD,Dimitar Grabul ,36,2 ,2 ,0,0
1429,1425T,3,VEN,Jordi Munoz-Abreu ,28,2 ,2 ,0,0
1430,1425T,3,IRL,Osgar O'Hoisin ,21,2 ,2 ,0,0
1431,1425T,3,MEX,Raul-Isaias Rosas-Zarur ,28,2 ,2 ,0,0
1432,1433T,3,ARG,Leonardo Aboian ,19,2 ,3 ,0,0
1433,1433T,3,RUS,Petr Arkhipov ,23,2 ,3 ,0,0
1434,1433T,3,MEX,Juan Ignacio Batalla ,,2 ,3 ,0,0
1435,1433T,3,BUL,Martin Dimitrov ,20,2 ,3 ,0,0
1436,1433T,3,USA,William Grant ,17,2 ,3 ,0,0
1437,1433T,3,UKR,Dmitro Kamynin ,28,2 ,3 ,0,0
1438,1433T,3,KUW,Abdulhamid Mubarak ,23,2 ,3 ,0,0
1439,1433T,3,ESP,Marco Neubau ,23,2 ,3 ,0,0
1440,1433T,3,JPN,Koichi Sano ,29,2 ,3 ,0,0
1441,1442T,3,PAK,Muhammad Abid ,23,2 ,3 ,0,0
1442,1442T,3,BRA,Felipe Assuncao Garla ,23,2 ,3 ,0,0
1443,1442T,3,ITA,Gianluca Bergomi ,25,2 ,3 ,0,0
1444,1442T,3,RUS,Oleg Besednikov ,19,2 ,3 ,0,0
1445,1442T,3,USA,William Bushamuka ,22,2 ,3 ,0,0
1446,1442T,3,ESP,Juan Pablo Canas Garcia ,20,2 ,3 ,0,0
1447,1442T,3,BRA,Fabio Costa ,25,2 ,3 ,0,0
1448,1442T,3,ITA,Pasquale De Giorgio ,18,2 ,3 ,0,0
1449,1442T,3,SRI,Sharmal Dissanayake ,21,2 ,3 ,0,0
1450,1442T,3,FRA,Julien Eon ,23,2 ,3 ,0,0
1451,1442T,3,GER,Lucas Gerch ,23,2 ,3 ,0,0
1452,1442T,3,GER,Leon Hoeveler ,22,2 ,3 ,0,0
1453,1442T,3,JPN,Yuichiro Inui ,22,2 ,3 ,0,0
1454,1442T,3,GBR,Paul Jubb ,18,2 ,3 ,0,0
1455,1442T,3,RUS,Mihail Khaldeev ,23,2 ,3 ,0,0
1456,1442T,3,ESP,Mario Mansilla Diez ,15,2 ,3 ,0,0
1457,1442T,3,SWE,Marcus Mansson ,22,2 ,3 ,0,0
1458,1442T,3,NGR,Christian Paul ,23,2 ,3 ,0,0
1459,1442T,3,ROU,Bogdan Pavel ,18,2 ,3 ,0,0
1460,1442T,3,SRB,Dusan Rajic ,18,2 ,3 ,0,0
1461,1442T,3,GER,Tim Ruehl ,19,2 ,3 ,0,0
1462,1442T,3,JPN,Yuto Sakai ,21,2 ,3 ,0,0
1463,1442T,3,CZE,Libor Salaba ,25,2 ,3 ,0,0
1464,1442T,3,NED,Stijn Slump ,19,2 ,3 ,0,0
1465,1442T,3,ITA,Luigi Sorrentino ,19,2 ,3 ,0,0
1466,1442T,3,ITA,Matteo Trevisan ,28,2 ,3 ,0,0
1467,1442T,3,BLR,Maxim Tybar ,19,2 ,3 ,0,0
1468,1442T,3,JPN,Keisuke Watanuki ,24,2 ,3 ,0,0
1469,1470T,5,TUR,Mert Alkaya ,17,2 ,4 ,0,0
1470,1470T,5,USA,Oliver Crawford ,18,2 ,4 ,0,0
1471,1470T,5,BRA,Gabriel Friedrich ,23,2 ,4 ,0,0
1472,1470T,5,RUS,Alexander Ovcharov ,19,2 ,4 ,0,0
1473,1470T,5,MEX,Jose Antonio Rodriguez Rodriguez ,22,2 ,4 ,0,0
1474,1470T,5,JPN,Naoki Takeda ,24,2 ,4 ,0,0
1475,1476T,35,USA,Gonzales Austin ,25,2 ,4 ,0,0
1476,1476T,5,ITA,Federico Bertuccioli ,19,2 ,4 ,0,0
1477,1476T,31,ARG,Nicolas Bianchi ,21,2 ,4 ,0,0
1478,1476T,5,BRA,Enrique Bogo ,,2 ,4 ,0,0
1479,1476T,5,NOR,Simen Sunde Bratholm ,19,2 ,4 ,0,0
1480,1476T,5,SVK,David Damian Brna ,19,2 ,4 ,0,0
1481,1476T,5,CZE,Filip Brtnicky ,25,2 ,4 ,0,0
1482,1476T,5,BRA,Gabriel Ciro Da Silva ,18,2 ,4 ,0,0
1483,1476T,5,USA,Mitchell Frank ,25,2 ,4 ,0,0
1484,1476T,35,TPE,Liang-Chi Huang ,25,2 ,4 ,1,0
1485,1476T,5,PER,Arklon Huertas Del Pino Cordova ,23,2 ,4 ,0,0
1486,1476T,5,AUS,Zach Itzstein ,29,2 ,4 ,0,0
1487,1476T,5,SWE,Niklas Johansson ,19,2 ,4 ,0,0
1488,1476T,5,KOR,Oh-Hee Kwon ,39,2 ,4 ,0,0
1489,1476T,5,GER,Robin Lang ,22,2 ,4 ,0,0
1490,1476T,5,JPN,Yuki Matsuo ,27,2 ,4 ,0,0
1491,1476T,31,SRB,Marko Miladinovic ,17,2 ,4 ,0,0
1492,1476T,5,RSA,Siphosothando Montsi ,18,2 ,4 ,0,0
1493,1476T,35,POL,Dominik Nazaruk ,21,2 ,4 ,0,0
1494,1476T,5,RUS,Alexey Nesterov ,20,2 ,4 ,0,0
1495,1476T,5,POL,Grzegorz Panfil ,30,2 ,4 ,0,0
1496,1476T,5,USA,Jordan Parker ,24,2 ,4 ,0,0
1497,1476T,5,USA,Aron Pierce ,21,2 ,4 ,0,0
1498,1476T,5,RUS,Ivan Ponomarenko ,17,2 ,4 ,0,0
1499,1476T,5,NED,Sidane Pontjodikromo ,17,2 ,4 ,0,0
1500,1476T,5,SWE,Christian Samuelsson ,22,2 ,4 ,0,0
1501,1476T,5,SUI,Keivon Tabrizi ,21,2 ,4 ,0,0
1502,1476T,5,USA,Richard Torres ,20,2 ,4 ,0,0
1503,1476T,5,LTU,Robertas Vrzesinski ,20,2 ,4 ,0,0
1504,1505T,1,AUT,Daniel Kopeinigg ,29,2 ,5 ,0,0
1505,1505T,1,POL,Mateusz Kowalczyk ,30,2 ,5 ,0,0
1506,1505T,1,CZE,Yvo Panak ,22,2 ,5 ,0,0
1507,1505T,1,VIE,Linh Giang Trinh ,20,2 ,5 ,0,0
1508,1505T,1,LTU,Julius Tverijonas ,23,2 ,5 ,0,0
1509,1510T,1,AUT,Jakob Aichhorn ,19,2 ,5 ,0,0
1510,1510T,1,ROU,Victor Vlad Cornea ,24,2 ,5 ,0,0
1511,1510T,1,POR,Francisco Dias ,25,2 ,5 ,0,0
1512,1510T,1,AUS,Nicholas Horton ,22,2 ,5 ,0,0
1513,1510T,1,SUI,Jessy Kalambay ,25,2 ,5 ,0,0
1514,1510T,19,IND,Shahbaaz Khan ,25,2 ,5 ,0,0
1515,1510T,1,KOR,Dylan Seong Kwan Kim ,32,2 ,5 ,0,0
1516,1510T,1,GER,Daniil Klimov ,18,2 ,5 ,0,0
1517,1510T,29,RUS,Philipp Klimov ,18,2 ,5 ,0,0
1518,1510T,1,AUS,Benard Bruno Nkomba ,18,2 ,5 ,0,0
1519,1510T,1,USA,Alexandre Rotsaert ,18,2 ,5 ,0,0
1520,1510T,1,HKG,Anthony Jackie Tang ,19,2 ,5 ,0,0
1521,1510T,1,GER,Jordi Walder ,19,2 ,5 ,0,0
1522,1510T,1,AUS,Brandon Walkin ,23,2 ,5 ,1,0
1523,1510T,1,ITA,Georg Winkler ,21,2 ,5 ,0,0
1524,1525,3,MAR,Soufiane El Mesbahi ,17,2 ,6 ,0,0
1525,1526T,3,AUT,Philip Bachmaier ,21,2 ,6 ,0,0
1526,1526T,3,RUS,Roman Blokhin ,18,2 ,6 ,0,0
1527,1526T,3,ITA,Alessandro Ceppellini ,21,2 ,6 ,0,0
1528,1526T,3,ROU,Vlad Andrei Dancu ,18,2 ,6 ,0,0
1529,1526T,3,ISR,Amit Gabreal ,18,2 ,6 ,0,0
1530,1526T,3,TUR,Kaya Gore ,19,2 ,6 ,0,0
1531,1526T,3,EGY,Karim Hossam ,23,2 ,6 ,0,0
1532,1526T,3,GBR,Alexander Jhun ,22,2 ,6 ,0,0
1533,1526T,3,SVK,Ivan Kosec ,26,2 ,6 ,0,0
1534,1526T,3,THA,Palaphoom Kovapitukted ,18,2 ,6 ,0,0
1535,1526T,164,IND,Vijayant Malik ,28,2 ,6 ,1,0
1536,1526T,3,FRA,Rayane Oumaouche ,20,2 ,6 ,0,0
1537,1526T,3,SWE,Carl Soderlund ,20,2 ,6 ,0,0
1538,1526T,3,ITA,Moritz Trocker ,17,2 ,6 ,0,0
1539,1526T,19,FRA,Arthur Weber ,25,2 ,6 ,0,0
